areaId,minLat,maxLat,minLon,maxLon,active
0,26.3909,26.4009,-82.4691,-82.4491,0
1,26.3909,26.4009,-82.4491,-82.4291,0
2,26.3909,26.4009,-82.4291,-82.4091,0
3,26.3909,26.4009,-82.4091,-82.3891,0
4,26.3909,26.4009,-82.3891,-82.3691,0
5,26.3909,26.4009,-82.3691,-82.3491,0
6,26.3909,26.4009,-82.3491,-82.3291,0
7,26.3909,26.4009,-82.3291,-82.3091,0
8,26.3909,26.4009,-82.3091,-82.2891,0
9,26.3909,26.4009,-82.2891,-82.2691,0
10,26.3909,26.4009,-82.2691,-82.2491,0
11,26.3909,26.4009,-82.2491,-82.2291,0
12,26.3909,26.4009,-82.2291,-82.2091,0
13,26.3909,26.4009,-82.2091,-82.1891,0
14,26.3909,26.4009,-82.1891,-82.1691,0
15,26.3909,26.4009,-82.1691,-82.1491,0
16,26.3909,26.4009,-82.1491,-82.1291,0
17,26.3909,26.4009,-82.1291,-82.1091,0
18,26.3909,26.4009,-82.1091,-82.0891,0
19,26.3909,26.4009,-82.0891,-82.0691,0
20,26.3909,26.4009,-82.0691,-82.0491,0
21,26.3909,26.4009,-82.0491,-82.0291,0
22,26.3909,26.4009,-82.0291,-82.0091,0
23,26.3909,26.4009,-82.0091,-81.9891,0
24,26.3909,26.4009,-81.9891,-81.9691,0
25,26.3909,26.4009,-81.9691,-81.9491,0
26,26.3909,26.4009,-81.9491,-81.9291,0
27,26.3909,26.4009,-81.9291,-81.9091,0
28,26.3909,26.4009,-81.9091,-81.8891,0
29,26.3909,26.4009,-81.8891,-81.8691,0
30,26.3909,26.4009,-81.8691,-81.8491,0
31,26.3909,26.4009,-81.8491,-81.8291,0
32,26.3909,26.4009,-81.8291,-81.8091,0
33,26.3909,26.4009,-81.8091,-81.7891,0
34,26.3909,26.4009,-81.7891,-81.7691,0
35,26.3909,26.4009,-81.7691,-81.7491,0
36,26.3909,26.4009,-81.7491,-81.7291,0
37,26.3909,26.4009,-81.7291,-81.7091,0
38,26.3909,26.4009,-81.7091,-81.6891,0
39,26.3909,26.4009,-81.6891,-81.6691,0
40,26.3909,26.4009,-81.6691,-81.6491,0
41,26.3909,26.4009,-81.6491,-81.6291,0
42,26.3909,26.4009,-81.6291,-81.6091,0
43,26.3909,26.4009,-81.6091,-81.5891,0
44,26.3909,26.4009,-81.5891,-81.5691,0
45,26.3909,26.4009,-81.5691,-81.5491,0
46,26.3909,26.4009,-81.5491,-81.5291,0
47,26.3909,26.4009,-81.5291,-81.5091,0
48,26.3909,26.4009,-81.5091,-81.4891,0
49,26.3909,26.4009,-81.4891,-81.4691,0
50,26.3909,26.4009,-81.4691,-81.4491,0
51,26.3909,26.4009,-81.4491,-81.4291,1
52,26.3909,26.4009,-81.4291,-81.4091,0
53,26.3909,26.4009,-81.4091,-81.3891,0
54,26.3909,26.4009,-81.3891,-81.3691,0
55,26.3909,26.4009,-81.3691,-81.3491,0
56,26.3909,26.4009,-81.3491,-81.3291,0
57,26.3909,26.4009,-81.3291,-81.3091,0
58,26.3909,26.4009,-81.3091,-81.2891,0
59,26.3909,26.4009,-81.2891,-81.2691,0
60,26.3909,26.4009,-81.2691,-81.2491,0
61,26.3909,26.4009,-81.2491,-81.2291,0
62,26.3909,26.4009,-81.2291,-81.2091,0
63,26.3909,26.4009,-81.2091,-81.1891,0
64,26.3909,26.4009,-81.1891,-81.1691,0
65,26.3909,26.4009,-81.1691,-81.1491,0
66,26.3909,26.4009,-81.1491,-81.1291,0
67,26.3909,26.4009,-81.1291,-81.1091,0
68,26.3909,26.4009,-81.1091,-81.0891,0
69,26.3909,26.4009,-81.0891,-81.0691,0
70,26.3909,26.4009,-81.0691,-81.0491,0
71,26.3909,26.4009,-81.0491,-81.0291,0
72,26.3909,26.4009,-81.0291,-81.0091,0
73,26.3909,26.4009,-81.0091,-80.9891,0
74,26.3909,26.4009,-80.9891,-80.9691,0
75,26.3909,26.4009,-80.9691,-80.9491,0
76,26.3909,26.4009,-80.9491,-80.9291,0
77,26.3909,26.4009,-80.9291,-80.9091,0
78,26.3909,26.4009,-80.9091,-80.8891,0
79,26.3909,26.4009,-80.8891,-80.8691,0
80,26.3909,26.4009,-80.8691,-80.8491,0
81,26.3909,26.4009,-80.8491,-80.8291,0
82,26.3909,26.4009,-80.8291,-80.8091,0
83,26.3909,26.4009,-80.8091,-80.7891,0
84,26.3909,26.4009,-80.7891,-80.7691,0
85,26.3909,26.4009,-80.7691,-80.7491,0
86,26.3909,26.4009,-80.7491,-80.7291,0
87,26.3909,26.4009,-80.7291,-80.7091,0
88,26.3909,26.4009,-80.7091,-80.6891,0
89,26.3909,26.4009,-80.6891,-80.6691,0
90,26.3909,26.4009,-80.6691,-80.6491,0
91,26.3909,26.4009,-80.6491,-80.6291,0
92,26.3909,26.4009,-80.6291,-80.6091,0
93,26.3909,26.4009,-80.6091,-80.5891,0
94,26.3909,26.4009,-80.5891,-80.5691,0
95,26.3909,26.4009,-80.5691,-80.5491,0
96,26.3909,26.4009,-80.5491,-80.5291,0
97,26.3909,26.4009,-80.5291,-80.5091,0
98,26.3909,26.4009,-80.5091,-80.4891,0
99,26.3909,26.4009,-80.4891,-80.4691,0
