chemical_id,chemical_casrn,chemical_name,systemic_adjusted_negative_log_lel
DSSTox_GSID_29320,21245-02-3,2-Ethylhexyl4-(dimethylamino)benzoate(2-Ethylhexyl-p-dimethyl-aminobenzoate),?
DSSTox_GSID_22111,709-98-8,Propanil,3.574
DSSTox_GSID_20283,95-83-0,"4-Chloro-1,2-diaminobenzene",?
DSSTox_GSID_23914,141-66-2,Dicrotophos,5.301
DSSTox_GSID_21206,57-55-6,"1,2-Propylene glycol",-0.301
DSSTox_GSID_24940,3252-43-5,Dibromoacetonitrile,6.301
DSSTox_GSID_47285,527680-56-4,PHA-00568487,?
DSSTox_GSID_44593,15619-48-4,"Quinolinium,1-(phenylmethyl)-,chloride",?
DSSTox_GSID_25014,98-87-3,"Benzalchloride(alpha,alpha-Dichlorotoluene)",?
DSSTox_GSID_21332,137-26-8,Thiram,3.602
DSSTox_GSID_35341,77-48-5,"1,3-Dibromo-5,5-dimethylhydantoin",?
DSSTox_GSID_24836,5392-40-5,"3,7-Dimethyl-2,6-octadienal",2.273
DSSTox_GSID_27640,6915-15-7,2-Hydroxybutanedioicacid;2-Hydroxy-succinicacid,?
DSSTox_GSID_47368,344930-95-6,SSR69071,3
DSSTox_GSID_23296,61-73-4,Methyleneblue,?
DSSTox_GSID_34881,124495-18-7,Quinoxyfen,2
DSSTox_GSID_24320,95-94-3,"1,2,4,5-Tetrachlorobenzene",3.824
DSSTox_GSID_47527,66456-53-9,"Adipicacid,polypropyleneglycol,laurate",?
DSSTox_GSID_21414,78-42-2,Tris(2-ethylhexyl)phosphate,1.602
DSSTox_GSID_24917,123-42-2,Diacetonealcohol(4-Hydroxy-4-methyl-2-pentanone),?
DSSTox_GSID_20932,59-67-6,Niacin(3-Pyridinecarboxylicacid)(Nicotinicacid)(NA),?
DSSTox_GSID_20541,57-41-0,"5,5-Diphenylhydantoin",3.25
DSSTox_GSID_25692,123-35-3,Myrcene,1.903
DSSTox_GSID_25363,79-14-1,Glycolic acid,2
DSSTox_GSID_37754,101-37-1,"2,4,6-Tris(allyloxy)-1,3,5-triazine(1,3,5-Triazine,2,4,6-tris(2-propenyloxy)-)",?
DSSTox_GSID_26241,118-56-9,"3,3,5-Trimethylcyclohexylsalicylate(Homosalate)",?
DSSTox_GSID_34924,650-51-1,Sodium trichloroacetate,?
DSSTox_GSID_20209,94-26-8,Butylparaben,?
DSSTox_GSID_22048,525-82-6,Flavone,?
DSSTox_GSID_48195,18979-55-0,4-(Hexyloxy)phenol(hexyloxyphenol),?
DSSTox_GSID_42400,1120-01-0,Sodiumhexyldecylsulfate,?
DSSTox_GSID_26262,2451-62-9,"1,3,5-Triglycidylisocyanurate(1,3,5-Triazine-2,4,6(1H,3H,5H)-trione,1,3,5-tris(oxiranylmethyl)-)(Tris(2,3-epoxypropyl)isocyanurate)",?
DSSTox_GSID_23159,96-83-3,Iopanoicacid,?
DSSTox_GSID_20807,149-30-4,2-Mercaptobenzothiazole,?
DSSTox_GSID_29559,78491-02-8,"Diazolidinylurea(Urea,N-[1,3-bis(hydroxymethyl)-2,5-dioxo-4-imidazolidinyl]-N,N'-bis(hydroxymethyl)-)",?
DSSTox_GSID_22049,527-60-6,"2,4,6-Trimethylphenol",?
DSSTox_GSID_20374,72-55-9,"p,p-DDE",?
DSSTox_GSID_20121,26628-22-8,Sodium azide,3.903
DSSTox_GSID_20621,51630-58-1,"Fenvalerate(Cyano(3-phenoxyphenyl)methylester,4-chloro-alpha-(1-methylethyl)benzeneaceticacid)(Pydrin)",?
DSSTox_GSID_21456,2783-94-0,FD&C Yellow 6,1.347
DSSTox_GSID_20212,2409-55-4,"2-tert-Butyl-4-methylphenol(2-(1,1-Dimethylethyl)-4-methyl-phenol)(Phenol,2-(1,1-dimethylethyl)-4-methyl-)",?
DSSTox_GSID_21975,122-39-4,Diphenylamine,2.477
DSSTox_GSID_21764,78-96-6,Monoisopropanolamine,?
DSSTox_GSID_26926,112-72-1,Myristylalcohol,?
DSSTox_GSID_37495,1007-28-9,Deisopropylatrazine,3.079
DSSTox_GSID_20493,868-85-9,"Dimethylhydrogenphosphite(Phosphonicacid,dimethylester)(Dimethylphosphite)",?
DSSTox_GSID_25427,75-86-5,2-Hydroxy-2-methylpropanenitrile(Acetonecyanohydrin),?
DSSTox_GSID_32459,298-02-2,Phorate,5
DSSTox_GSID_40708,33228-45-4,4-Hexylaniline,?
DSSTox_GSID_47497,119-07-3,Octyldecylphthalate,?
DSSTox_GSID_22247,7212-44-4,"Nerolidol(3-hydroxy-3,7,11-trimethyl-1,6,10-dodecatriene)",?
DSSTox_GSID_20141,271-89-6,Benzofuran,2.505
DSSTox_GSID_27982,33703-08-1,"Hexanedioicacid,diisononylester",?
DSSTox_GSID_41970,1632-73-1,Fenchol,?
DSSTox_GSID_41708,1320-07-6,"C.I.Acidorange24,monosodiumsalt",?
DSSTox_GSID_24993,2782-57-2,Dichloroisocyanuricacid(Dichloro-s-triazinetrione),?
DSSTox_GSID_25132,83-41-0,"1,2-Dimethyl-3-nitrobenzene",?
DSSTox_GSID_20930,54-11-5,Nicotine,?
DSSTox_GSID_25096,627-93-0,"Dimethyladipate(1,6-Dimethylhexanedioate)",?
DSSTox_GSID_23193,63-42-3,Lactose,?
DSSTox_GSID_40775,8000-41-7,Terpineol,?
DSSTox_GSID_20916,2243-62-1,"1,5-Naphthalenediamine",?
DSSTox_GSID_41302,68169-03-9,2-(Dihydrocyclopentadienyloxy)ethylmethacrylate,?
DSSTox_GSID_27852,25168-05-2,Chlorotoluene,?
DSSTox_GSID_47265,NOCAS_47265,N-{[4-(4-fluorophenoxy)phenyl]sulfonyl}-N-[1-(hydroxycarbamoyl)cyclopentyl]-b-alanine,?
DSSTox_GSID_41978,101463-69-8,Flufenoxuron,?
DSSTox_GSID_33161,1646-87-3,Aldicarbsulfoxide,?
DSSTox_GSID_48187,199584-38-8,1-Methoxy-4-tert-pentylcyclohexane,?
DSSTox_GSID_30606,55589-62-3,"6-Methyl-1,2,3-oxathiazin-4(3h)-one2,2-dioxidepotassiumsalt",?
DSSTox_GSID_24057,124-40-3,"Dimethylamine(Methanamine,N-methyl-)",?
DSSTox_GSID_20216,128-37-0,"Butylatedhydroxytoluene(2,6-Di-tert-butyl-4-methylphenol)(Phenol,2,6-bis(1,1-dimethylethyl)-4-methyl-)(BHT)",?
DSSTox_GSID_42198,1907-65-9,N-Butyl-p-toluenesulfonamide,?
DSSTox_GSID_29677,7631-86-9,"Silicondioxide,SiO2",?
DSSTox_GSID_32386,55283-68-6,Ethalfluralin,2.824
DSSTox_GSID_21907,109-77-3,Malonicdinitrile,?
DSSTox_GSID_21932,111-42-2,Diethanolamine,2.854
DSSTox_GSID_21195,1120-71-4,"1,3-Propanesultone(Propanesultone)",?
DSSTox_GSID_21937,111-70-6,1-Heptanol,?
DSSTox_GSID_21103,1825-21-4,Pentachloroanisole,?
DSSTox_GSID_42424,59-40-5,Sulfaquinoxaline,?
DSSTox_GSID_20941,7632-00-0,Sodium nitrite,2.523
DSSTox_GSID_41794,99607-70-2,"Cloquintocet-mexyl(Aceticacid,{(5-chloro-8-quinolinyl)oxy}-,1-methylhexylester)",?
DSSTox_GSID_32533,122453-73-0,"Chlorfenapyr(Pirate)(1H-Pyrrole-3-carbonitrile,4-bromo-2-(4-chlorophenyl)-1-(ethoxymethyl)-5-(trifluoromethyl)-)",?
DSSTox_GSID_47387,NOCAS_47387,"N-[1-{2-[(2R)-2-(3,4-dichlorophenyl)-5-oxo-4-phenylmorpholin-2-yl]ethyl}-4-(3-fluorophenyl)piperidin-4-yl]acetamide butanedioate",?
DSSTox_GSID_26645,99-87-6,"Benzene,1-methyl-4-(1-methylethyl)-;1-isopropyl-4-methylbenzene",?
DSSTox_GSID_21028,55-18-5,N-Nitrosodiethylamine(DEN)(diethylnitrosamine),?
DSSTox_GSID_32516,3547-33-9,2-Hydroxyethyloctylsulfide,?
DSSTox_GSID_22187,2416-94-6,"2,3,6-Trimethylphenol",?
DSSTox_GSID_47348,742693-38-5,2-chloro-N-{(S)-phenyl[(2S)-piperidin-2-yl]methyl}-3-(trifluoromethyl)benzamide,?
DSSTox_GSID_21726,65-45-2,2-Hydroxybenzamide(Salicylamide)(o-Hydroxybenzamide),?
DSSTox_GSID_25216,1321-74-0,Divinylbenzene,?
DSSTox_GSID_47319,184653-84-7,Carabersat,?
DSSTox_GSID_20350,120-71-8,2-Methoxy-5-methylaniline,?
DSSTox_GSID_32523,2634-33-5,"1,2-Benzisothiazolin-3-one",?
DSSTox_GSID_41920,1559-35-9,2-(2-Ethylhexyloxy)ethanol,?
DSSTox_GSID_21419,73-22-3,l-Tryptophan,0.426
DSSTox_GSID_41550,7540-51-4,"(3S)-3,7-Dimethyloct-6-en-1-ol",?
DSSTox_GSID_34232,101-10-0,Cloprop,2.426
DSSTox_GSID_43709,4449-51-8,Cyclopamine,?
DSSTox_GSID_47259,149062-75-9,"0142676;1,3-dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazolinehydrochloride(1:1)",?
DSSTox_GSID_21137,108-45-2,"1,3-Benzenediamine(m-Phenylenediamine)",?
DSSTox_GSID_25453,123-92-2,3-Methylbutylacetate(Isoamylacetate),?
DSSTox_GSID_29848,108419-33-6,"Aceticacid,C8-10-branchedalkylesters,C9-rich",?
DSSTox_GSID_29600,79-39-0,Methacrylamide,2.699
DSSTox_GSID_35423,571-58-4,"1,4-Dimethylnaphthalene",?
DSSTox_GSID_44888,203446,"Bariumbis(2-ethylhexanoate)(Hexanoicacid,2-ethyl-,bariumsalt)",?
DSSTox_GSID_21605,124-04-9,Hexanedioicacid(Adipicacid),?
DSSTox_GSID_26697,103-24-2,"Bis(2-ethylhexyl)nonanedioate(Nonanedioicacid,bis(2-ethylhexyl)ester)",?
DSSTox_GSID_21123,57-30-7,"Phenobarbital,sodium",?
DSSTox_GSID_20561,72-20-8,Endrin,5.079
DSSTox_GSID_23950,55285-14-8,Carbosulfan,?
DSSTox_GSID_20939,139-13-9,Nitrilotriacetic acid,0.949
DSSTox_GSID_20877,90-12-0,1-Methylnaphthalene,?
DSSTox_GSID_23901,25057-89-0,Bentazone,2.597
DSSTox_GSID_29874,49562-28-9,Fenofibrate,2.011
DSSTox_GSID_23556,68-26-8,Retinol(All-transretinol)(VitaminA),?
DSSTox_GSID_25297,103-11-7,2-Ethylhexylacrylate,?
DSSTox_GSID_27153,460-00-4,1-Bromo-4-fluorobenzene,?
DSSTox_GSID_34586,153233-91-1,Etoxazole,3.26
DSSTox_GSID_21105,82-68-8,Pentachloronitrobenzene,3.903
DSSTox_GSID_26864,111-11-5,Methyloctanoate,?
DSSTox_GSID_25234,17372-87-1,Eosin,?
DSSTox_GSID_48188,106-45-6,4-Thiocresol(p-toluene_thiol),?
DSSTox_GSID_47628,2550-40-5,"Dicyclohexyldisulfide(1,1'-disulfanediyldicyclohexane)",?
DSSTox_GSID_34376,3734-33-6,"Benzyldiethyl((2,6-xylylcarbamoyl)methyl)ammoniumbenzoate",?
DSSTox_GSID_42060,124-76-5,Isoborneol,?
DSSTox_GSID_47539,22915-73-7,"Hexane-1,6-diyldibenzoate",?
DSSTox_GSID_47277,361343-19-3,CP-448187,?
DSSTox_GSID_24666,110-63-4,"1,4-Butanediol",?
DSSTox_GSID_47270,253450-09-8,CI-1041;PD0196860;Co200461,?
DSSTox_GSID_21952,115-86-6,Triphenylphosphate,?
DSSTox_GSID_20089,101-05-3,Anilazine,2.574
DSSTox_GSID_32673,123343-16-8,Pyrithiobac-sodium,3.389
DSSTox_GSID_47357,288104-79-0,Surinabant,?
DSSTox_GSID_35272,24157-81-1,"2,6-Diisopropylnaphthalene",?
DSSTox_GSID_20168,111-44-4,"BCEE;Ethane,1,1'-oxybis[2-chloro-",?
DSSTox_GSID_47284,478149-53-0,PHA-00543613,3.176
DSSTox_GSID_27774,15708-41-5,"Ethylenediaminetetraaceticacidferricsodiumsalt(Ferrate(1-),[[N,N'-1,2-ethanediylbis[N-[(carboxy-.kappa.O)methyl]glycinato-.kappa.N,.kappa.O]](4-)]-,sodium,(OC-6-21)-(",?
DSSTox_GSID_22361,50471-44-8,Vinclozolin,3.699
DSSTox_GSID_21106,87-86-5,Pentachlorophenol,4.301
DSSTox_GSID_20409,53-70-3,"Dibenz(a,h)anthracene",?
DSSTox_GSID_38924,6259-76-3,Hexylsalicylate(n-Hexylsalicylicacid),?
DSSTox_GSID_38321,3739-38-6,3-Phenoxybenzoicacid,?
DSSTox_GSID_26548,90-72-2,"2,4,6-Tris(dimethylaminomethyl)phenol(Phenol,2,4,6-tris[(dimethylamino)methyl]-)",?
DSSTox_GSID_32497,55335-06-3,Triclopyr,3.079
DSSTox_GSID_27924,27178-16-1,"Diisodecylhexadioate(Diisodecyladipate)(Hexanedioicacid,diisodecylester)",?
DSSTox_GSID_21029,62-75-9,N-Nitrosodimethylamine,?
DSSTox_GSID_47303,179465-71-5,CJ-013790,3.255
DSSTox_GSID_34392,188425-85-6,Boscalid,2.879
DSSTox_GSID_47185,94-46-2,Isopentylbenzoate,?
DSSTox_GSID_23745,58-86-6,D-Xylose;(+)-Xylose,?
DSSTox_GSID_20446,330-54-1,Diuron,4.523
DSSTox_GSID_32520,131860-33-8,Azoxystrobin,3.079
DSSTox_GSID_27461,2231-57-4,Thiocarbazide(Carbonothioicdihydrazide),?
DSSTox_GSID_48207,838-85-7,Diphenylphosphate,?
DSSTox_GSID_27525,3164-85-0,Potassium2-ethylhexanoate,?
DSSTox_GSID_25347,98-00-0,Furfurylalcohol(2-Furanmethanol),?
DSSTox_GSID_22525,5153-25-3,2-Ethylhexylparaben,?
DSSTox_GSID_21777,83-88-5,Riboflavin,?
DSSTox_GSID_20628,2164-17-2,Fluometuron,4.301
DSSTox_GSID_41790,106-23-0,Citronellal,?
DSSTox_GSID_34948,112410-23-8,Tebufenozide,3.921
DSSTox_GSID_40707,33228-44-3,4-Pentylaniline(4-n-amylaniline),?
DSSTox_GSID_41487,20780-48-7,"3,7-Dimethyloctan-3-ylacetate",?
DSSTox_GSID_22292,52645-53-1,Permethrin,3.347
DSSTox_GSID_32470,31218-83-4,Propetamphos,4.222
DSSTox_GSID_24194,93-65-2,2-(2-Methyl-4-chlorophenoxy)propionicacid;MCPP;MCPPacid,?
DSSTox_GSID_27581,4904-61-4,"1,5,9-Cyclododecatriene",?
DSSTox_GSID_41421,487-06-9,"5,7-Dimethoxy-2H-chromen-2-one(2H-1-Benzopyran-2-one,5,7-dimethoxy-)(5,7-Dimethoxycoumarin)",?
DSSTox_GSID_42189,4107-98-6,"N,N-Diisopropylaniline",?
DSSTox_GSID_47425,1638-22-8,4-Butylphenol,?
DSSTox_GSID_24263,7664-38-2,PhosphoricacidDivosanX-Tendformulation,?
DSSTox_GSID_32555,103361-09-7,Flumioxazin,3.721
DSSTox_GSID_24112,72178-02-0,Fomesafen,?
DSSTox_GSID_27540,3622-84-2,N-Butylbenzenesulfonamide,?
